title,company,location,work_type,level,compensation,link,id,scraped_date
"AI Engineer / Data Scientist, AI Senior Associate",PwC,,,,,https://www.builtinla.com/job/ai-engineer-data-scientist-ai-senior-associate/9540364,9540364,2026-05-29
"AI Engineer / Data Scientist, AI Sr. Manager",PwC,,,,,https://www.builtinla.com/job/ai-engineer-data-scientist-ai-sr-manager/9540359,9540359,2026-05-29
"AI Engineer / Data Scientist, AI Manager",PwC,,,,,https://www.builtinla.com/job/ai-engineer-data-scientist-ai-manager/9540345,9540345,2026-05-29
CTIO-AI Engineer-Sr Associate,PwC,,,,,https://www.builtinla.com/job/ctio-ai-engineer-sr-associate/8948911,8948911,2026-05-29
ERP AI Engineer -  Manager,PwC,,,,,https://www.builtinla.com/job/erp-ai-engineer-manager/9429280,9429280,2026-05-29
AI Engineer,Samsara,,,,,https://www.builtinla.com/job/business-technology-ai-engineer-iv/8384879,8384879,2026-05-29
NGA AI Engineer Manager,PwC,,,,,https://www.builtinla.com/job/nga-ai-engineer-manager/9319986,9319986,2026-05-29
"Senior Manager, Scientific AI Engineer",Pfizer,,,,,https://www.builtinla.com/job/senior-manager-scientific-ai-engineer/9393882,9393882,2026-05-29
Principal AI Engineer – Automation & AI,eClinical Solutions,,,,,https://www.builtinla.com/job/director-enterprise-ai/8640302,8640302,2026-05-29
Sr. Staff AI Engineer (Remote),Rula,,,,,https://www.builtinla.com/job/sr-staff-ai-engineer-remote/9185177,9185177,2026-05-29
Staff AI Engineer - Foundation (Remote),Rula,,,,,https://www.builtinla.com/job/staff-ai-engineer-applied-ai-remote/8921079,8921079,2026-05-29
Applied AI Developer (Remote),CrowdStrike,,,,,https://www.builtinla.com/job/applied-ai-developer-remote/9429682,9429682,2026-05-29
Senior AI Engineer,Wipfli,,,,,https://www.builtinla.com/job/senior-ai-engineer/9249065,9249065,2026-05-29
Senior Applied AI Engineer,GrayMatter Robotics,,,,,https://www.builtinla.com/job/senior-applied-ai-engineer/8327260,8327260,2026-05-29
Sr. Applied AI Engineer,Zapier,,,,,https://www.builtinla.com/job/sr-applied-ai-engineer/9132993,9132993,2026-05-29
Founding AI Engineer,Better Half,,,,,https://www.builtinla.com/job/founding-ai-engineer/8168967,8168967,2026-05-29
Staff AI Engineer,Drata,,,,,https://www.builtinla.com/job/staff-ai-software-engineer/8629184,8629184,2026-05-29
GTM AI Engineer,Superhuman,,,,,https://www.builtinla.com/job/gtm-ai-engineer/9383308,9383308,2026-05-29
Principal AI Engineer (Remote),Rula,,,,,https://www.builtinla.com/job/principal-ai-engineer-remote/9375184,9375184,2026-05-29
Sr/Staff AI Engineer,BNSF Railway,,,,,https://www.builtinla.com/job/sr-staff-ai-engineer/8318455,8318455,2026-05-29
Senior AI Engineer,Metropolis Technologies,,,,,https://www.builtinla.com/job/senior-ai-engineer/9122136,9122136,2026-05-29
NGA AI Engineer Senior Manager,PwC,,,,,https://www.builtinla.com/job/nga-ai-engineer-senior-manager/8823061,8823061,2026-05-29
Lead AI Product Engineer - AI Agents & Emerging Products,System1,,,,,https://www.builtinla.com/job/lead-ai-product-engineer-ai-agents-emerging-products/8196329,8196329,2026-05-29
Senior ServiceNow AI Engineer,CVS Health,,,,,https://www.builtinla.com/job/senior-servicenow-ai-engineer/9007383,9007383,2026-05-29
"Agentic AI Engineer (Remote, 6-Month Contract)",Accuris,,,,,https://www.builtinla.com/job/agentic-ai-engineer-remote-6-month-contract/8816631,8816631,2026-05-29
AI Engineer,THE·TEAM,,,,,https://www.builtinla.com/job/ai-engineer/9491937,9491937,2026-05-29
"Software Engineer, AI Dev Tools",Whatnot,,,,,https://www.builtinla.com/job/software-engineer-ai-dev-tools/8656600,8656600,2026-05-29
Software Engineer II (AI Focus),Parsec Automation,,,,,https://www.builtinla.com/job/software-engineer-ii-ai-focus/9145840,9145840,2026-05-29
AI Lead Software Engineer - Remote,Commerce,,,,,https://www.builtinla.com/job/lead-software-engineer/6995744,6995744,2026-05-29
"Software Engineer II, GTM AI Agents",Toast,,,,,https://www.builtinla.com/job/software-engineer-ii-gtm-ai-agents/9537460,9537460,2026-05-29
Senior AI Engineer,Re:Build Manufacturing,,,,,https://www.builtinla.com/job/senior-ai-engineer/9188416,9188416,2026-05-29
Senior AI Engineer,CDW,,,,,https://www.builtinla.com/job/senior-ai-engineer/8285831,8285831,2026-05-29
AI Engineer,Capsule (capsule.video),,,,,https://www.builtinla.com/job/ai-engineer/7107575,7107575,2026-05-29
Senior AI / Data Engineer,Order.co,,,,,https://www.builtinla.com/job/senior-ai-data-engineer/9512147,9512147,2026-05-29
Staff Risk AI & Data Engineer,SoFi,,,,,https://www.builtinla.com/job/ai-automation-lead/9106865,9106865,2026-05-29
Principal AI/ML Engineer - AdTech,Zeta Global,,,,,https://www.builtinla.com/job/principal-ai-ml-engineer-adtech/7514379,7514379,2026-05-29
Staff AI Engineer,Create Music Group,,,,,https://www.builtinla.com/job/staff-ai-engineer/9467892,9467892,2026-05-29
AI Integrations Staff Engineer,Vetcove,,,,,https://www.builtinla.com/job/ai-integrations-staff-engineer/9210788,9210788,2026-05-29
"Staff Applied AI Engineer, AI Experiences & Agents",Linktree,,,,,https://www.builtinla.com/job/staff-applied-ai-engineer-ai-experiences-agents/8934174,8934174,2026-05-29
"GTM Engineer, Marketing Operations AI Innovation",Toast,,,,,https://www.builtinla.com/job/gtm-engineer-marketing-operations-ai-innovation/8884243,8884243,2026-05-29
AI Engineer II,Finance of America Companies,,,,,https://www.builtinla.com/job/ai-engineer-ii/8734614,8734614,2026-05-29
Full-Stack Applied AI Engineer,Bitovi,,,,,https://www.builtinla.com/job/full-stack-applied-ai-engineer/8985332,8985332,2026-05-29
Senior AI Developer,EBizCharge,,,,,https://www.builtinla.com/job/senior-ai-developer/7592560,7592560,2026-05-29
Applied AI Engineer - Americas Partners,Talkdesk,,,,,https://www.builtinla.com/job/senior-partner-solutions-engineer-americas/8977902,8977902,2026-05-29
Staff AI Engineer,SpotOn,,,,,https://www.builtinla.com/job/staff-ai-engineer/8977781,8977781,2026-05-29
AI Engineer,Chipply,,,,,https://www.builtinla.com/job/ai-engineer/9538384,9538384,2026-05-29
"Senior AI Engineer, Forward Deployed",Komodo Health,,,,,https://www.builtinla.com/job/senior-ai-engineer-forward-deployed/9537720,9537720,2026-05-29
Lead Software Engineer - Core AI,Zeta Global,,,,,https://www.builtinla.com/job/lead-software-engineer-core-ai/9172719,9172719,2026-05-29
"Lead Software QA Engineer, AI Automation",Zeta Global,,,,,https://www.builtinla.com/job/lead-software-qa-engineer-ai-automation/9268845,9268845,2026-05-29
Computer Vision AI Engineer,Booz Allen Hamilton,,,,,https://www.builtinla.com/job/computer-vision-ai-engineer/9144298,9144298,2026-05-29
Computer Vision AI Engineer,Booz Allen Hamilton,,,,,https://www.builtinla.com/job/computer-vision-ai-engineer/9141579,9141579,2026-05-29
"Senior AI Engineer - Grafana Ops, AI/ML | USA | Remote",Grafana Labs,,,,,https://www.builtinla.com/job/senior-ai-engineer-grafana-ops-ai-ml-usa-remote/8484780,8484780,2026-05-29
AI Engineer,YipitData,,,,,https://www.builtinla.com/job/ai-engineer/9229514,9229514,2026-05-29
AI Engineer,Booz Allen Hamilton,,,,,https://www.builtinla.com/job/ai-engineer/8815259,8815259,2026-05-29
Principal AI Safety Engineer for Autonomous Vehicles: Technical Lead (GPSSC),General Motors,,,,,https://www.builtinla.com/job/principal-ai-safety-engineer-autonomous-vehicles-technical-lead-gpssc/8681816,8681816,2026-05-29
"Senior Manager, Solutions Architecture, AI & Developer Platform",Cloudflare,,,,,https://www.builtinla.com/job/senior-manager-solutions-architecture-ai-developer-platform/8084392,8084392,2026-05-29
Staff Software Engineer - AI Marketing - US (Remote),Luxury Presence,,,,,https://www.builtinla.com/job/staff-software-engineer-ai-marketing-us-remote/8923434,8923434,2026-05-29
"Senior Machine Learning Engineer, AI Personalization",Block,,,,,https://www.builtinla.com/job/senior-machine-learning-engineer-ai-personalization/9133794,9133794,2026-05-29
AWS Amazon Connect Agentic AI Engineer,The Motley Fool,,,,,https://www.builtinla.com/job/aws-amazon-connect-agentic-ai-engineer/9515496,9515496,2026-05-29
AI Engineer,Nokia,,,,,https://www.builtinla.com/job/ai-engineer/9514253,9514253,2026-05-29
AI Engineer – Marketing Operations,Cyera,,,,,https://www.builtinla.com/job/ai-engineer-marketing-operations/8966654,8966654,2026-05-29
Senior Applied AI Engineer,Teamworks,,,,,https://www.builtinla.com/job/senior-applied-ai-engineer/9187503,9187503,2026-05-29
Agentic AI Engineer,Tiger Analytics,,,,,https://www.builtinla.com/job/agentic-ai-engineer/9229459,9229459,2026-05-29
Machine Learning/AI Engineer,Element (e14s.com),,,,,https://www.builtinla.com/job/machine-learning-ai-engineer/9227565,9227565,2026-05-29
Forward Deployed AI Engineer,NewRocket,,,,,https://www.builtinla.com/job/forward-deployed-ai-engineer/9510568,9510568,2026-05-29
"Principal Applied AI Engineer, Finance",Genesys,,,,,https://www.builtinla.com/job/principal-applied-ai-engineer-finance/9063392,9063392,2026-05-29
"Staff Software Engineer, AI & Strategy",Toast,,,,,https://www.builtinla.com/job/staff-software-engineer/8408374,8408374,2026-05-29
"Senior Software Engineer, Support AI",Toast,,,,,https://www.builtinla.com/job/senior-software-engineer-support-ai/9271013,9271013,2026-05-29
"Site Reliability Engineer - AI & ML Infrastructure (Kubernetes, AWS & Terraform)",Deepgram,,,,,https://www.builtinla.com/job/site-reliability-engineer-ai-ml-infrastructure-kubernetes-aws-terraform/8695247,8695247,2026-05-29
Full Stack AI Engineer,Infinity Constellation,,,,,https://www.builtinla.com/job/full-stack-ai-engineer/7309810,7309810,2026-05-29
Senior AI Engineer - AI Product,ClickUp,,,,,https://www.builtinla.com/job/senior-ai-engineer-ai-product/9214203,9214203,2026-05-29
Staff AI Engineer - AI Platform,ClickUp,,,,,https://www.builtinla.com/job/staff-ai-engineer-ai-platform/9214115,9214115,2026-05-29
Staff AI Engineer - AI Product,ClickUp,,,,,https://www.builtinla.com/job/staff-ai-engineer-ai-product/9214094,9214094,2026-05-29
