title,company,location,work_type,level,compensation,link,id,scraped_date
"AI Engineer / Data Scientist, AI Senior Associate",PwC,,,,,https://www.builtinla.com/job/ai-engineer-data-scientist-ai-senior-associate/9540364,9540364,2026-05-29
"AI Engineer / Data Scientist, AI Sr. Manager",PwC,,,,,https://www.builtinla.com/job/ai-engineer-data-scientist-ai-sr-manager/9540359,9540359,2026-05-29
"AI Engineer / Data Scientist, AI Manager",PwC,,,,,https://www.builtinla.com/job/ai-engineer-data-scientist-ai-manager/9540345,9540345,2026-05-29
ERP AI Engineer -  Manager,PwC,,,,,https://www.builtinla.com/job/erp-ai-engineer-manager/9429280,9429280,2026-05-29
NGA AI Engineer Manager,PwC,,,,,https://www.builtinla.com/job/nga-ai-engineer-manager/9319986,9319986,2026-05-29
"Senior Manager, Scientific AI Engineer",Pfizer,,,,,https://www.builtinla.com/job/senior-manager-scientific-ai-engineer/9393882,9393882,2026-05-29
Sr. Staff AI Engineer (Remote),Rula,,,,,https://www.builtinla.com/job/sr-staff-ai-engineer-remote/9185177,9185177,2026-05-29
Applied AI Developer (Remote),CrowdStrike,,,,,https://www.builtinla.com/job/applied-ai-developer-remote/9429682,9429682,2026-05-29
Senior AI Engineer,Wipfli,,,,,https://www.builtinla.com/job/senior-ai-engineer/9249065,9249065,2026-05-29
Sr. Applied AI Engineer,Zapier,,,,,https://www.builtinla.com/job/sr-applied-ai-engineer/9132993,9132993,2026-05-29
GTM AI Engineer,Superhuman,,,,,https://www.builtinla.com/job/gtm-ai-engineer/9383308,9383308,2026-05-29
Principal AI Engineer (Remote),Rula,,,,,https://www.builtinla.com/job/principal-ai-engineer-remote/9375184,9375184,2026-05-29
AI Engineer,THE·TEAM,,,,,https://www.builtinla.com/job/ai-engineer/9491937,9491937,2026-05-29
Software Engineer II (AI Focus),Parsec Automation,,,,,https://www.builtinla.com/job/software-engineer-ii-ai-focus/9145840,9145840,2026-05-29
"Software Engineer II, GTM AI Agents",Toast,,,,,https://www.builtinla.com/job/software-engineer-ii-gtm-ai-agents/9537460,9537460,2026-05-29
Senior AI Engineer,Re:Build Manufacturing,,,,,https://www.builtinla.com/job/senior-ai-engineer/9188416,9188416,2026-05-29
Senior AI Engineer,CDW,,,,,https://www.builtinla.com/job/senior-ai-engineer/8285831,8285831,2026-05-29
Senior AI / Data Engineer,Order.co,,,,,https://www.builtinla.com/job/senior-ai-data-engineer/9512147,9512147,2026-05-29
Staff Risk AI & Data Engineer,SoFi,,,,,https://www.builtinla.com/job/ai-automation-lead/9106865,9106865,2026-05-29
Staff AI Engineer,Create Music Group,,,,,https://www.builtinla.com/job/staff-ai-engineer/9467892,9467892,2026-05-29
AI Integrations Staff Engineer,Vetcove,,,,,https://www.builtinla.com/job/ai-integrations-staff-engineer/9210788,9210788,2026-05-29
Full-Stack Applied AI Engineer,Bitovi,,,,,https://www.builtinla.com/job/full-stack-applied-ai-engineer/8985332,8985332,2026-05-29
Applied AI Engineer - Americas Partners,Talkdesk,,,,,https://www.builtinla.com/job/senior-partner-solutions-engineer-americas/8977902,8977902,2026-05-29
AI Engineer,Chipply,,,,,https://www.builtinla.com/job/ai-engineer/9538384,9538384,2026-05-29
"Senior AI Engineer, Forward Deployed",Komodo Health,,,,,https://www.builtinla.com/job/senior-ai-engineer-forward-deployed/9537720,9537720,2026-05-29
Lead Software Engineer - Core AI,Zeta Global,,,,,https://www.builtinla.com/job/lead-software-engineer-core-ai/9172719,9172719,2026-05-29
"Lead Software QA Engineer, AI Automation",Zeta Global,,,,,https://www.builtinla.com/job/lead-software-qa-engineer-ai-automation/9268845,9268845,2026-05-29
Computer Vision AI Engineer,Booz Allen Hamilton,,,,,https://www.builtinla.com/job/computer-vision-ai-engineer/9144298,9144298,2026-05-29
AI Engineer,YipitData,,,,,https://www.builtinla.com/job/ai-engineer/9229514,9229514,2026-05-29
"Senior Machine Learning Engineer, AI Personalization",Block,,,,,https://www.builtinla.com/job/senior-machine-learning-engineer-ai-personalization/9133794,9133794,2026-05-29
AWS Amazon Connect Agentic AI Engineer,The Motley Fool,,,,,https://www.builtinla.com/job/aws-amazon-connect-agentic-ai-engineer/9515496,9515496,2026-05-29
AI Engineer,Nokia,,,,,https://www.builtinla.com/job/ai-engineer/9514253,9514253,2026-05-29
Senior Applied AI Engineer,Teamworks,,,,,https://www.builtinla.com/job/senior-applied-ai-engineer/9187503,9187503,2026-05-29
Agentic AI Engineer,Tiger Analytics,,,,,https://www.builtinla.com/job/agentic-ai-engineer/9229459,9229459,2026-05-29
Machine Learning/AI Engineer,Element (e14s.com),,,,,https://www.builtinla.com/job/machine-learning-ai-engineer/9227565,9227565,2026-05-29
Forward Deployed AI Engineer,NewRocket,,,,,https://www.builtinla.com/job/forward-deployed-ai-engineer/9510568,9510568,2026-05-29
"Senior Software Engineer, Support AI",Toast,,,,,https://www.builtinla.com/job/senior-software-engineer-support-ai/9271013,9271013,2026-05-29
Senior AI Engineer - AI Product,ClickUp,,,,,https://www.builtinla.com/job/senior-ai-engineer-ai-product/9214203,9214203,2026-05-29
Staff AI Engineer - AI Platform,ClickUp,,,,,https://www.builtinla.com/job/staff-ai-engineer-ai-platform/9214115,9214115,2026-05-29
Staff AI Engineer - AI Product,ClickUp,,,,,https://www.builtinla.com/job/staff-ai-engineer-ai-product/9214094,9214094,2026-05-29
Senior AI Engineer - AI Platform,ClickUp,,,,,https://www.builtinla.com/job/senior-ai-engineer-ai-platform/9214269,9214269,2026-05-29
"Senior AI Engineer, Applied AI",Clarium,,,,,https://www.builtinla.com/job/senior-ai-engineer-applied-ai/9209883,9209883,2026-05-29
"Senior Consultant, Anthropic AI Engineer",Astound Digital,,,,,https://www.builtinla.com/job/senior-consultant-ai-engineer/9174078,9174078,2026-05-29
Staff AI Engineer,Syndesus,,,,,https://www.builtinla.com/job/staff-ai-engineer/9496222,9496222,2026-05-29
"Senior AI Engineer, Enterprise AI",GE Healthcare,,,,,https://www.builtinla.com/job/senior-ai-engineer-enterprise-ai/9199758,9199758,2026-05-29
Staff AI Engineer | Agentic Systems,Machinify,,,,,https://www.builtinla.com/job/staff-nlp-scientist/8940949,8940949,2026-05-29
AI Engineer | Agentic Systems,Machinify,,,,,https://www.builtinla.com/job/nlp-scientist/8940922,8940922,2026-05-29
AI Engineer - Labrynth,Infinity Constellation,,,,,https://www.builtinla.com/job/ai-engineer/9179936,9179936,2026-05-29
"Senior Software Engineer, Sports AI",Genius Sports,,,,,https://www.builtinla.com/job/senior-software-engineer-sports-ai/9302212,9302212,2026-05-29
Applied AI Health Data System Engineer-Senior Manager,PwC,,,,,https://www.builtinla.com/job/applied-ai-health-data-system-engineer-senior-manager/9300811,9300811,2026-05-29
Sr AI Engineer,The Trade Desk,,,,,https://www.builtinla.com/job/senior-software-engineer-ai/6658407,6658407,2026-05-29
Staff ML Engineer - Embodied AI Onboard Autonomy,General Motors,,,,,https://www.builtinla.com/job/staff-ml-engineer-offboard-embodied-ai/6459221,6459221,2026-05-29
Sr AI Engineer,Zuora,,,,,https://www.builtinla.com/job/sr-salesforce-developer-cpq/8854431,8854431,2026-05-29
AI Engineer,Canadian National Railway Company,,,,,https://www.builtinla.com/job/ai-engineer/9472213,9472213,2026-05-29
Staff AI Engineer,Robots & Pencils,,,,,https://www.builtinla.com/job/staff-ai-engineer/9464928,9464928,2026-05-29
Sr. AI Engineer,MeridianLink,,,,,https://www.builtinla.com/job/sr-ai-engineer/9464450,9464450,2026-05-29
Principal AI Engineer,TENEX.AI,,,,,https://www.builtinla.com/job/principal-ai-engineer/7080796,7080796,2026-05-29
AI Engineer,Chickasaw Nation Industries,,,,,https://www.builtinla.com/job/ai-engineer/9457555,9457555,2026-05-29
"Senior GTM Engineer,  AI Innovation",Toast,,,,,https://www.builtinla.com/job/senior-gtm-engineer-ai-innovation/9386460,9386460,2026-05-29
Senior AI Engineer,Newfront,,,,,https://www.builtinla.com/job/senior-ai-engineer/9438967,9438967,2026-05-29
Principal AI Engineer,LINQ (linq.com),,,,,https://www.builtinla.com/job/principal-technical-product-manager-ai-enablement/9056850,9056850,2026-05-29
Senior AI Engineer (Clients) - Supernal,Infinity Constellation,,,,,https://www.builtinla.com/job/senior-ai-engineer-clients-supernal/9434344,9434344,2026-05-29
"Staff Data Engineer (Scala, Spark, & Gen AI)",DISQO,,,,,https://www.builtinla.com/job/staff-data-engineer-scala-spark-gen-ai/9258751,9258751,2026-05-29
Sr. AI Engineer,Mitek Systems,,,,,https://www.builtinla.com/job/sr-ai-engineer/9174490,9174490,2026-05-29
AI Engineer,Reflow,,,,,https://www.builtinla.com/job/ai-engineer/9156535,9156535,2026-05-29
"AI Engineer, Staff",Lyric - Clarity in motion.,,,,,https://www.builtinla.com/job/ai-engineer-staff/9422529,9422529,2026-05-29
Principal AI Engineer,Exactera,,,,,https://www.builtinla.com/job/principal-ai-engineer/9417884,9417884,2026-05-29
"IT Staff Engineer - AI Enablement & Automation (Remote, US)",Openly,,,,,https://www.builtinla.com/job/it-staff-engineer-ai-enablement-automation-remote-us/9345467,9345467,2026-05-29
"Developer Relations Lead, AI Infrastructure and Community",Runpod,,,,,https://www.builtinla.com/job/developer-relations-community-manager/9076742,9076742,2026-05-29
AI Engineer,Guild Mortgage,,,,,https://www.builtinla.com/job/ai-engineer/9130362,9130362,2026-05-29
AI Engineer,Yuno,,,,,https://www.builtinla.com/job/ai-engineer/9127034,9127034,2026-05-29
AI Engineer,Quantiphi,,,,,https://www.builtinla.com/job/ai-engineer/9126697,9126697,2026-05-29
"AI Engineer - Classifiers, Media Intelligence & Voice R&D",Wow Remote Teams,,,,,https://www.builtinla.com/job/ai-engineer-classifiers-media-intelligence-voice-r-d/9394109,9394109,2026-05-29
Staff AI Engineer,Newfront,,,,,https://www.builtinla.com/job/staff-ai-engineer/9388969,9388969,2026-05-29
AI Engineer,Makai Labs,,,,,https://www.builtinla.com/job/ai-engineer/9385843,9385843,2026-05-29
AI Engineer / Machine Learning Engineer – MLOps,KATBOTZ LLC,,,,,https://www.builtinla.com/job/ai-engineer-machine-learning-engineer-mlops/9385582,9385582,2026-05-29
